ID,SMILES,act_mean,Type
CHEMBL3609663,COc1cc(NC(=O)Nc2cccc3c2C2CC4(CCN2C3=O)OCCO4)nc2ccccc12,100000000,0
CHEMBL3589661,O=C(O)c1nc2ccccc2c2[nH]c3c(Br)cccc3c12,20,1
CHEMBL2180847,O=C(Nc1cc(-c2ccccc2)on1)Nc1cccc2c1C1CCCCN1C2=O,100000000,0
CHEMBL2392235,Fc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,23200,0
CHEMBL2295955,CC(C)C[C@H](O)Nc1nc(Nc2ccc(-c3cncnc3)cc2)c2ncn(C(C)C)c2n1,1100,0
CHEMBL4576555,CN1CCN(C(=O)C(C)(C)c2ccc(C(=O)Nc3cn4cc(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)ccc4n3)cc2)CC1,100000000,0
CHEMBL4092117,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(C(=O)O)c3)n2n1,1600,0
CHEMBL4513287,COC(=O)CCCCCn1c2cc(OC)ccc2c2ccnc(C)c21,112,1
CHEMBL1899256,Brc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Br,449.5,1
CHEMBL4641672,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCOCC1,24.5,1
CHEMBL2314466,CC[C@H](CO)Nc1nc(Nc2ccncc2)c2ncn(C(C)C)c2n1,4100,0
CHEMBL2089035,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC[C@H](O)CO)nc21,790,1
CHEMBL3775969,COc1ccc(/C=C2\CC(C)OC2=O)cc1,1200,0
CHEMBL2392227,Fc1cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc(F)c1F,20700,0
CHEMBL2392368,FC(F)(F)c1cc(Br)cc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)c1,313.5,1
CHEMBL4074132,CC(C)[C@@H](CO)Nc1ccc2ncc(-c3cccnc3)n2n1,390,1
CHEMBL3775538,CC1C/C(=C\c2ccc3ncsc3c2)C(=O)O1,1080,0
CHEMBL3589659,O=C(O)c1nc2ccc(I)cc2c2[nH]c3ccc(Cl)cc3c12,100000000,0
CHEMBL4278353,O=C(Nc1cncc(-c2cc(-c3cn[nH]c3)cs2)c1)C1CC1,18,1
CHEMBL4446434,COc1cc(Br)cc2[nH]cc(-c3cnc(-c4ccc[nH]4)o3)c12,100000000,0
CHEMBL4093231,CC[C@@H](CO)NC(=O)c1cccc(-c2cnc3ccc(Cl)nn23)c1,2100,0
CHEMBL3883764,N#Cc1cc2cnccc2c2[nH]c3ccccc3c12,50,1
CHEMBL3094446,COc1ncc2cc(C(=O)Nc3cc(C(=O)Nc4ccccc4)ccc3Cl)c(=O)[nH]c2n1,780,1
CHEMBL4167484,COc1ccc(N)cc1-c1cnc(N)c(C(=O)c2cccnc2)n1,100000000,0
