name,SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS,name
LIG1,O=C(O)c1nc2ccccc2c2[nH]c3c(Br)cccc3c12,341.164,0.389006724,1,0.066666667,2,0.4,2,0,0,1,3.8481,0.700728266,LIG
LIG2,COC(=O)CCCCCn1c2cc(OC)ccc2c2ccnc(C)c21,340.423,0.387071159,8,0.533333333,0,0,5,0.375,0,1,4.23992,0.760175998,LIG
LIG3,Brc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Br,463.129,0.70759128,4,0.266666667,1,0.2,5,0.375,0,1,5.0094,0.876923077,LIG
LIG4,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCOCC1,407.474,0.562214955,5,0.333333333,1,0.2,6,0.5,0,1,3.3139,0.619678349,LIG
LIG5,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC[C@H](O)CO)nc21,447.543,0.666879117,10,0.666666667,4,0.8,9,0.875,0,1,3.2365,0.607935063,LIG
LIG6,CC(C)[C@@H](CO)Nc1ccc2ncc(-c3cccnc3)n2n1,297.362,0.274591598,5,0.333333333,2,0.4,6,0.5,0,1,2.2201,0.453724776,LIG
LIG7,O=C(Nc1cncc(-c2cc(-c3cn[nH]c3)cs2)c1)C1CC1,310.382,0.308601117,5,0.333333333,2,0.4,4,0.25,0,1,3.0668,0.582187832,LIG
LIG8,N#Cc1cc2cnccc2c2[nH]c3ccccc3c12,243.269,0.133295371,0,0,1,0.2,2,0,0,1,3.25908,0.611360947,LIG
LIG9,COc1ncc2cc(C(=O)Nc3cc(C(=O)Nc4ccccc4)ccc3Cl)c(=O)[nH]c2n1,449.854,0.672915676,7,0.466666667,3,0.6,6,0.5,0,1,3.0028,0.572477621,LIG
LIG10,Clc1cnccc1-c1c[nH]c2cnccc12,229.67,0.097773447,1,0.066666667,1,0.2,2,0,0,1,2.7964,0.541162191,LIG
LIG11,c1cncc(-c2csc(-c3cncs3)c2)c1,244.344,0.136103376,2,0.133333333,0,0,4,0.25,0,1,3.9336,0.713700501,LIG
LIG12,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,404.282,0.553877137,4,0.266666667,2,0.4,7,0.625,0,1,5.26167,0.915197997,LIG
LIG13,c1cc(-c2cn(CC3CC3)c3cnccc23)ccn1,249.317,0.149093341,3,0.2,0,0,3,0.125,0,1,3.5083,0.649173115,LIG
